experiment	path	commit	status	metric	value	hypothesis	utc
B002	baseline	bc192bfa0a9b1bd025003fdee3d70ab0d5f8f326	baseline	postflop.Ks7s2d.init_ms	674.325	Frozen CUDA postflop baseline, wide rainbow and two-tone flops plus river	2026-09-07T00:49:37+00:00
B002	baseline	bc192bfa0a9b1bd025003fdee3d70ab0d5f8f326	baseline	postflop.Ks7s2d.iteration_ms	35.163	Frozen CUDA postflop baseline, wide rainbow and two-tone flops plus river	2026-09-07T00:49:37+00:00
B002	baseline	bc192bfa0a9b1bd025003fdee3d70ab0d5f8f326	baseline	postflop.Ks7s2d.check_ms	31.888	Frozen CUDA postflop baseline, wide rainbow and two-tone flops plus river	2026-09-07T00:49:37+00:00
B002	baseline	bc192bfa0a9b1bd025003fdee3d70ab0d5f8f326	baseline	postflop.Ks7h2dQhTc.init_ms	67.607	Frozen CUDA postflop baseline, wide rainbow and two-tone flops plus river	2026-09-07T00:49:37+00:00
B002	baseline	bc192bfa0a9b1bd025003fdee3d70ab0d5f8f326	baseline	postflop.Ks7h2dQhTc.iteration_ms	0.34	Frozen CUDA postflop baseline, wide rainbow and two-tone flops plus river	2026-09-07T00:49:37+00:00
B002	baseline	bc192bfa0a9b1bd025003fdee3d70ab0d5f8f326	baseline	postflop.Ks7h2dQhTc.check_ms	0.635	Frozen CUDA postflop baseline, wide rainbow and two-tone flops plus river	2026-09-07T00:49:37+00:00
B003	baseline	bc192bfa0a9b1bd025003fdee3d70ab0d5f8f326	baseline	cpu.preflop.arena_mb	224.552328	Frozen CPU traversal, reports, profiles, build and save-load baseline	2026-09-07T00:50:12+00:00
B003	baseline	bc192bfa0a9b1bd025003fdee3d70ab0d5f8f326	baseline	cpu.preflop.check_ms	1439.9938	Frozen CPU traversal, reports, profiles, build and save-load baseline	2026-09-07T00:50:12+00:00
B003	baseline	bc192bfa0a9b1bd025003fdee3d70ab0d5f8f326	baseline	cpu.preflop.iteration_ms	204.80818	Frozen CPU traversal, reports, profiles, build and save-load baseline	2026-09-07T00:50:12+00:00
B003	baseline	bc192bfa0a9b1bd025003fdee3d70ab0d5f8f326	baseline	cpu.postflop.arena_mb	104.204192	Frozen CPU traversal, reports, profiles, build and save-load baseline	2026-09-07T00:50:12+00:00
B003	baseline	bc192bfa0a9b1bd025003fdee3d70ab0d5f8f326	baseline	cpu.postflop.iteration_ms	34.42082	Frozen CPU traversal, reports, profiles, build and save-load baseline	2026-09-07T00:50:12+00:00
B003	baseline	bc192bfa0a9b1bd025003fdee3d70ab0d5f8f326	baseline	lifecycle.build_ms	9.987400000000001	Frozen CPU traversal, reports, profiles, build and save-load baseline	2026-09-07T00:50:12+00:00
B003	baseline	bc192bfa0a9b1bd025003fdee3d70ab0d5f8f326	baseline	lifecycle.compressed_load_ms	87.3054	Frozen CPU traversal, reports, profiles, build and save-load baseline	2026-09-07T00:50:12+00:00
B003	baseline	bc192bfa0a9b1bd025003fdee3d70ab0d5f8f326	baseline	lifecycle.load_ms	78.935	Frozen CPU traversal, reports, profiles, build and save-load baseline	2026-09-07T00:50:12+00:00
B003	baseline	bc192bfa0a9b1bd025003fdee3d70ab0d5f8f326	baseline	lifecycle.profile_ms	678.3966	Frozen CPU traversal, reports, profiles, build and save-load baseline	2026-09-07T00:50:12+00:00
B003	baseline	bc192bfa0a9b1bd025003fdee3d70ab0d5f8f326	baseline	lifecycle.report_lines_ms	212.4025	Frozen CPU traversal, reports, profiles, build and save-load baseline	2026-09-07T00:50:12+00:00
B003	baseline	bc192bfa0a9b1bd025003fdee3d70ab0d5f8f326	baseline	lifecycle.save_mb	104.204944	Frozen CPU traversal, reports, profiles, build and save-load baseline	2026-09-07T00:50:12+00:00
B003	baseline	bc192bfa0a9b1bd025003fdee3d70ab0d5f8f326	baseline	lifecycle.save_ms	213.86260000000001	Frozen CPU traversal, reports, profiles, build and save-load baseline	2026-09-07T00:50:12+00:00
E001	preflop_cuda	151e1bd7c761cca2cae7ba70e00de4c5826f8294	keep	preflop.2.iteration_ms	0.094	Capture each alternating seat sweep into a CUDA graph to remove repeated launch overhead	2026-09-07T00:51:33+00:00
E001	preflop_cuda	151e1bd7c761cca2cae7ba70e00de4c5826f8294	keep	preflop.2.check_ms	0.277	Capture each alternating seat sweep into a CUDA graph to remove repeated launch overhead	2026-09-07T00:51:33+00:00
E001	preflop_cuda	151e1bd7c761cca2cae7ba70e00de4c5826f8294	keep	preflop.2.sync_ms	0.027	Capture each alternating seat sweep into a CUDA graph to remove repeated launch overhead	2026-09-07T00:51:33+00:00
E001	preflop_cuda	151e1bd7c761cca2cae7ba70e00de4c5826f8294	keep	preflop.6.iteration_ms	33.016	Capture each alternating seat sweep into a CUDA graph to remove repeated launch overhead	2026-09-07T00:51:33+00:00
E001	preflop_cuda	151e1bd7c761cca2cae7ba70e00de4c5826f8294	keep	preflop.6.check_ms	35.446	Capture each alternating seat sweep into a CUDA graph to remove repeated launch overhead	2026-09-07T00:51:33+00:00
E001	preflop_cuda	151e1bd7c761cca2cae7ba70e00de4c5826f8294	keep	preflop.6.sync_ms	64.298	Capture each alternating seat sweep into a CUDA graph to remove repeated launch overhead	2026-09-07T00:51:33+00:00
E001	preflop_cuda	151e1bd7c761cca2cae7ba70e00de4c5826f8294	keep	preflop.8.iteration_ms	152.021	Capture each alternating seat sweep into a CUDA graph to remove repeated launch overhead	2026-09-07T00:51:33+00:00
E001	preflop_cuda	151e1bd7c761cca2cae7ba70e00de4c5826f8294	keep	preflop.8.check_ms	142.945	Capture each alternating seat sweep into a CUDA graph to remove repeated launch overhead	2026-09-07T00:51:33+00:00
E001	preflop_cuda	151e1bd7c761cca2cae7ba70e00de4c5826f8294	keep	preflop.8.sync_ms	160.593	Capture each alternating seat sweep into a CUDA graph to remove repeated launch overhead	2026-09-07T00:51:33+00:00
E001R	preflop_cuda	151e1bd7c761cca2cae7ba70e00de4c5826f8294	keep	preflop.2.iteration_ms	0.1	Repeat CUDA graph timings and verify identical preflop state fingerprints	2026-09-07T00:52:24+00:00
E001R	preflop_cuda	151e1bd7c761cca2cae7ba70e00de4c5826f8294	keep	preflop.2.check_ms	0.354	Repeat CUDA graph timings and verify identical preflop state fingerprints	2026-09-07T00:52:24+00:00
E001R	preflop_cuda	151e1bd7c761cca2cae7ba70e00de4c5826f8294	keep	preflop.2.sync_ms	0.035	Repeat CUDA graph timings and verify identical preflop state fingerprints	2026-09-07T00:52:24+00:00
E001R	preflop_cuda	151e1bd7c761cca2cae7ba70e00de4c5826f8294	keep	preflop.6.iteration_ms	32.829	Repeat CUDA graph timings and verify identical preflop state fingerprints	2026-09-07T00:52:24+00:00
E001R	preflop_cuda	151e1bd7c761cca2cae7ba70e00de4c5826f8294	keep	preflop.6.check_ms	33.934	Repeat CUDA graph timings and verify identical preflop state fingerprints	2026-09-07T00:52:24+00:00
E001R	preflop_cuda	151e1bd7c761cca2cae7ba70e00de4c5826f8294	keep	preflop.6.sync_ms	56.734	Repeat CUDA graph timings and verify identical preflop state fingerprints	2026-09-07T00:52:24+00:00
E001R	preflop_cuda	151e1bd7c761cca2cae7ba70e00de4c5826f8294	keep	preflop.8.iteration_ms	151.094	Repeat CUDA graph timings and verify identical preflop state fingerprints	2026-09-07T00:52:24+00:00
E001R	preflop_cuda	151e1bd7c761cca2cae7ba70e00de4c5826f8294	keep	preflop.8.check_ms	140.573	Repeat CUDA graph timings and verify identical preflop state fingerprints	2026-09-07T00:52:24+00:00
E001R	preflop_cuda	151e1bd7c761cca2cae7ba70e00de4c5826f8294	keep	preflop.8.sync_ms	156.832	Repeat CUDA graph timings and verify identical preflop state fingerprints	2026-09-07T00:52:24+00:00
E002	cpu_solving	c55a2cd7aeeae96e565476abb8e337210f9a1ab2	discard	cpu.preflop.arena_mb	224.552328	Reuse thread-local preflop traversal scratch and fill average strategies directly into it	2026-09-07T00:56:31+00:00
E002	cpu_solving	c55a2cd7aeeae96e565476abb8e337210f9a1ab2	discard	cpu.preflop.check_ms	1473.7062999999998	Reuse thread-local preflop traversal scratch and fill average strategies directly into it	2026-09-07T00:56:31+00:00
E002	cpu_solving	c55a2cd7aeeae96e565476abb8e337210f9a1ab2	discard	cpu.preflop.iteration_ms	200.46096000000003	Reuse thread-local preflop traversal scratch and fill average strategies directly into it	2026-09-07T00:56:31+00:00
E002R	cpu_solving	60f39955b0615d1111c0421651bb3675f58c5de7	discard	cpu.preflop.arena_mb	224.552328	Repeat scratch-pool trial; initial iteration improvement is marginal and checks may regress	2026-09-07T00:57:55+00:00
E002R	cpu_solving	60f39955b0615d1111c0421651bb3675f58c5de7	discard	cpu.preflop.check_ms	1488.7741999999998	Repeat scratch-pool trial; initial iteration improvement is marginal and checks may regress	2026-09-07T00:57:55+00:00
E002R	cpu_solving	60f39955b0615d1111c0421651bb3675f58c5de7	discard	cpu.preflop.iteration_ms	203.17534	Repeat scratch-pool trial; initial iteration improvement is marginal and checks may regress	2026-09-07T00:57:55+00:00
E003	memory_transfers	6d64a9b664a14be1b4473ee59fc19da83ad79b91	keep	preflop.2.iteration_ms	0.094	Reuse a pinned two-arena snapshot buffer for faster GPU downloads without partial CPU publication	2026-09-07T00:59:34+00:00
E003	memory_transfers	6d64a9b664a14be1b4473ee59fc19da83ad79b91	keep	preflop.2.check_ms	0.296	Reuse a pinned two-arena snapshot buffer for faster GPU downloads without partial CPU publication	2026-09-07T00:59:34+00:00
E003	memory_transfers	6d64a9b664a14be1b4473ee59fc19da83ad79b91	keep	preflop.2.sync_ms	0.016	Reuse a pinned two-arena snapshot buffer for faster GPU downloads without partial CPU publication	2026-09-07T00:59:34+00:00
E003	memory_transfers	6d64a9b664a14be1b4473ee59fc19da83ad79b91	keep	preflop.6.iteration_ms	32.722	Reuse a pinned two-arena snapshot buffer for faster GPU downloads without partial CPU publication	2026-09-07T00:59:34+00:00
E003	memory_transfers	6d64a9b664a14be1b4473ee59fc19da83ad79b91	keep	preflop.6.check_ms	34.4	Reuse a pinned two-arena snapshot buffer for faster GPU downloads without partial CPU publication	2026-09-07T00:59:34+00:00
E003	memory_transfers	6d64a9b664a14be1b4473ee59fc19da83ad79b91	keep	preflop.6.sync_ms	26.615	Reuse a pinned two-arena snapshot buffer for faster GPU downloads without partial CPU publication	2026-09-07T00:59:34+00:00
E003	memory_transfers	6d64a9b664a14be1b4473ee59fc19da83ad79b91	keep	preflop.8.iteration_ms	151.989	Reuse a pinned two-arena snapshot buffer for faster GPU downloads without partial CPU publication	2026-09-07T00:59:34+00:00
E003	memory_transfers	6d64a9b664a14be1b4473ee59fc19da83ad79b91	keep	preflop.8.check_ms	142.487	Reuse a pinned two-arena snapshot buffer for faster GPU downloads without partial CPU publication	2026-09-07T00:59:34+00:00
E003	memory_transfers	6d64a9b664a14be1b4473ee59fc19da83ad79b91	keep	preflop.8.sync_ms	67.567	Reuse a pinned two-arena snapshot buffer for faster GPU downloads without partial CPU publication	2026-09-07T00:59:34+00:00
E003R	memory_transfers	b8c25400452d9971e959bfe8d66c5e2d3c6c93c9	keep	preflop.2.iteration_ms	0.101	Confirm pinned snapshot gain after adding pageable fallback; all CUDA suites passed	2026-09-07T01:01:55+00:00
E003R	memory_transfers	b8c25400452d9971e959bfe8d66c5e2d3c6c93c9	keep	preflop.2.check_ms	0.29	Confirm pinned snapshot gain after adding pageable fallback; all CUDA suites passed	2026-09-07T01:01:55+00:00
E003R	memory_transfers	b8c25400452d9971e959bfe8d66c5e2d3c6c93c9	keep	preflop.2.sync_ms	0.022	Confirm pinned snapshot gain after adding pageable fallback; all CUDA suites passed	2026-09-07T01:01:55+00:00
E003R	memory_transfers	b8c25400452d9971e959bfe8d66c5e2d3c6c93c9	keep	preflop.6.iteration_ms	32.744	Confirm pinned snapshot gain after adding pageable fallback; all CUDA suites passed	2026-09-07T01:01:55+00:00
E003R	memory_transfers	b8c25400452d9971e959bfe8d66c5e2d3c6c93c9	keep	preflop.6.check_ms	34.215	Confirm pinned snapshot gain after adding pageable fallback; all CUDA suites passed	2026-09-07T01:01:55+00:00
E003R	memory_transfers	b8c25400452d9971e959bfe8d66c5e2d3c6c93c9	keep	preflop.6.sync_ms	30.926	Confirm pinned snapshot gain after adding pageable fallback; all CUDA suites passed	2026-09-07T01:01:55+00:00
E003R	memory_transfers	b8c25400452d9971e959bfe8d66c5e2d3c6c93c9	keep	preflop.8.iteration_ms	153.638	Confirm pinned snapshot gain after adding pageable fallback; all CUDA suites passed	2026-09-07T01:01:55+00:00
E003R	memory_transfers	b8c25400452d9971e959bfe8d66c5e2d3c6c93c9	keep	preflop.8.check_ms	140.187	Confirm pinned snapshot gain after adding pageable fallback; all CUDA suites passed	2026-09-07T01:01:55+00:00
E003R	memory_transfers	b8c25400452d9971e959bfe8d66c5e2d3c6c93c9	keep	preflop.8.sync_ms	67.568	Confirm pinned snapshot gain after adding pageable fallback; all CUDA suites passed	2026-09-07T01:01:55+00:00
E004	postflop_cuda	d211e665c0baba6a58e8c42920f0b93a89becb84	discard	postflop.Ks7h2d.init_ms	1014.986	A 256-thread postflop block may reduce per-thread hand work and improve occupancy	2026-09-07T01:04:07+00:00
E004	postflop_cuda	d211e665c0baba6a58e8c42920f0b93a89becb84	discard	postflop.Ks7h2d.iteration_ms	71.482	A 256-thread postflop block may reduce per-thread hand work and improve occupancy	2026-09-07T01:04:07+00:00
E004	postflop_cuda	d211e665c0baba6a58e8c42920f0b93a89becb84	discard	postflop.Ks7h2d.check_ms	58.757	A 256-thread postflop block may reduce per-thread hand work and improve occupancy	2026-09-07T01:04:07+00:00
E004	postflop_cuda	d211e665c0baba6a58e8c42920f0b93a89becb84	discard	postflop.Ks7s2d.init_ms	714.543	A 256-thread postflop block may reduce per-thread hand work and improve occupancy	2026-09-07T01:04:07+00:00
E004	postflop_cuda	d211e665c0baba6a58e8c42920f0b93a89becb84	discard	postflop.Ks7s2d.iteration_ms	42.733	A 256-thread postflop block may reduce per-thread hand work and improve occupancy	2026-09-07T01:04:07+00:00
E004	postflop_cuda	d211e665c0baba6a58e8c42920f0b93a89becb84	discard	postflop.Ks7s2d.check_ms	43.15	A 256-thread postflop block may reduce per-thread hand work and improve occupancy	2026-09-07T01:04:07+00:00
E004	postflop_cuda	d211e665c0baba6a58e8c42920f0b93a89becb84	discard	postflop.Ks7h2dQhTc.init_ms	70.966	A 256-thread postflop block may reduce per-thread hand work and improve occupancy	2026-09-07T01:04:07+00:00
E004	postflop_cuda	d211e665c0baba6a58e8c42920f0b93a89becb84	discard	postflop.Ks7h2dQhTc.iteration_ms	0.305	A 256-thread postflop block may reduce per-thread hand work and improve occupancy	2026-09-07T01:04:07+00:00
E004	postflop_cuda	d211e665c0baba6a58e8c42920f0b93a89becb84	discard	postflop.Ks7h2dQhTc.check_ms	0.721	A 256-thread postflop block may reduce per-thread hand work and improve occupancy	2026-09-07T01:04:07+00:00
E004B	postflop_cuda	1086dd8b8675cc53f01819224f9e970a09e9e1bf	discard	postflop.Ks7h2d.init_ms	1033.552	64-thread blocks may reduce serial prefix overhead and block resource pressure	2026-09-07T01:06:45+00:00
E004B	postflop_cuda	1086dd8b8675cc53f01819224f9e970a09e9e1bf	discard	postflop.Ks7h2d.iteration_ms	61.09	64-thread blocks may reduce serial prefix overhead and block resource pressure	2026-09-07T01:06:45+00:00
E004B	postflop_cuda	1086dd8b8675cc53f01819224f9e970a09e9e1bf	discard	postflop.Ks7h2d.check_ms	40.219	64-thread blocks may reduce serial prefix overhead and block resource pressure	2026-09-07T01:06:45+00:00
E004B	postflop_cuda	1086dd8b8675cc53f01819224f9e970a09e9e1bf	discard	postflop.Ks7s2d.init_ms	691.739	64-thread blocks may reduce serial prefix overhead and block resource pressure	2026-09-07T01:06:45+00:00
E004B	postflop_cuda	1086dd8b8675cc53f01819224f9e970a09e9e1bf	discard	postflop.Ks7s2d.iteration_ms	35.868	64-thread blocks may reduce serial prefix overhead and block resource pressure	2026-09-07T01:06:45+00:00
E004B	postflop_cuda	1086dd8b8675cc53f01819224f9e970a09e9e1bf	discard	postflop.Ks7s2d.check_ms	33.972	64-thread blocks may reduce serial prefix overhead and block resource pressure	2026-09-07T01:06:45+00:00
E004B	postflop_cuda	1086dd8b8675cc53f01819224f9e970a09e9e1bf	discard	postflop.Ks7h2dQhTc.init_ms	69.603	64-thread blocks may reduce serial prefix overhead and block resource pressure	2026-09-07T01:06:45+00:00
E004B	postflop_cuda	1086dd8b8675cc53f01819224f9e970a09e9e1bf	discard	postflop.Ks7h2dQhTc.iteration_ms	0.472	64-thread blocks may reduce serial prefix overhead and block resource pressure	2026-09-07T01:06:45+00:00
E004B	postflop_cuda	1086dd8b8675cc53f01819224f9e970a09e9e1bf	discard	postflop.Ks7h2dQhTc.check_ms	0.863	64-thread blocks may reduce serial prefix overhead and block resource pressure	2026-09-07T01:06:45+00:00
B004	baseline	c6efc14a78eef81be3975a880cc2bc4daaa29087	baseline	preflop.6.allocated_vram_mb	1140.850688	Measure current preflop GPU capacity and initialization before compact reach storage	2026-09-07T01:08:20+00:00
B004	baseline	c6efc14a78eef81be3975a880cc2bc4daaa29087	baseline	preflop.6.build_ms	77.0805	Measure current preflop GPU capacity and initialization before compact reach storage	2026-09-07T01:08:20+00:00
B004	baseline	c6efc14a78eef81be3975a880cc2bc4daaa29087	baseline	preflop.6.cpu_arena_mb	224.552328	Measure current preflop GPU capacity and initialization before compact reach storage	2026-09-07T01:08:20+00:00
B004	baseline	c6efc14a78eef81be3975a880cc2bc4daaa29087	baseline	preflop.6.estimated_vram_mb	1201.382292	Measure current preflop GPU capacity and initialization before compact reach storage	2026-09-07T01:08:20+00:00
B004	baseline	c6efc14a78eef81be3975a880cc2bc4daaa29087	baseline	preflop.6.init_ms	184.7098	Measure current preflop GPU capacity and initialization before compact reach storage	2026-09-07T01:08:20+00:00
B004	baseline	c6efc14a78eef81be3975a880cc2bc4daaa29087	baseline	preflop.8.allocated_vram_mb	3590.324224	Measure current preflop GPU capacity and initialization before compact reach storage	2026-09-07T01:08:20+00:00
B004	baseline	c6efc14a78eef81be3975a880cc2bc4daaa29087	baseline	preflop.8.build_ms	241.9299	Measure current preflop GPU capacity and initialization before compact reach storage	2026-09-07T01:08:20+00:00
B004	baseline	c6efc14a78eef81be3975a880cc2bc4daaa29087	baseline	preflop.8.cpu_arena_mb	587.239848	Measure current preflop GPU capacity and initialization before compact reach storage	2026-09-07T01:08:20+00:00
B004	baseline	c6efc14a78eef81be3975a880cc2bc4daaa29087	baseline	preflop.8.estimated_vram_mb	3632.617572	Measure current preflop GPU capacity and initialization before compact reach storage	2026-09-07T01:08:20+00:00
B004	baseline	c6efc14a78eef81be3975a880cc2bc4daaa29087	baseline	preflop.8.init_ms	325.3486	Measure current preflop GPU capacity and initialization before compact reach storage	2026-09-07T01:08:20+00:00
E005	reports_profiles	6155843a3b3c09a5c8df108e96bc5a9214041941	keep	cpu.postflop.arena_mb	104.204192	Cache board hand categories across betting lines within each report, preserving all summaries	2026-09-07T01:09:56+00:00
E005	reports_profiles	6155843a3b3c09a5c8df108e96bc5a9214041941	keep	cpu.postflop.iteration_ms	32.12578	Cache board hand categories across betting lines within each report, preserving all summaries	2026-09-07T01:09:56+00:00
E005	reports_profiles	6155843a3b3c09a5c8df108e96bc5a9214041941	keep	lifecycle.build_ms	8.9164	Cache board hand categories across betting lines within each report, preserving all summaries	2026-09-07T01:09:56+00:00
E005	reports_profiles	6155843a3b3c09a5c8df108e96bc5a9214041941	keep	lifecycle.compressed_load_ms	86.0775	Cache board hand categories across betting lines within each report, preserving all summaries	2026-09-07T01:09:56+00:00
E005	reports_profiles	6155843a3b3c09a5c8df108e96bc5a9214041941	keep	lifecycle.load_ms	56.057	Cache board hand categories across betting lines within each report, preserving all summaries	2026-09-07T01:09:56+00:00
E005	reports_profiles	6155843a3b3c09a5c8df108e96bc5a9214041941	keep	lifecycle.profile_ms	681.2804	Cache board hand categories across betting lines within each report, preserving all summaries	2026-09-07T01:09:56+00:00
E005	reports_profiles	6155843a3b3c09a5c8df108e96bc5a9214041941	keep	lifecycle.report_lines_ms	68.4324	Cache board hand categories across betting lines within each report, preserving all summaries	2026-09-07T01:09:56+00:00
E005	reports_profiles	6155843a3b3c09a5c8df108e96bc5a9214041941	keep	lifecycle.save_mb	104.204944	Cache board hand categories across betting lines within each report, preserving all summaries	2026-09-07T01:09:56+00:00
E005	reports_profiles	6155843a3b3c09a5c8df108e96bc5a9214041941	keep	lifecycle.save_ms	221.0823	Cache board hand categories across betting lines within each report, preserving all summaries	2026-09-07T01:09:56+00:00
E005R	reports_profiles	6155843a3b3c09a5c8df108e96bc5a9214041941	keep	cpu.postflop.arena_mb	104.204192	Repeat board-category caching; pooled report and profile behavior tests passed	2026-09-07T01:11:56+00:00
E005R	reports_profiles	6155843a3b3c09a5c8df108e96bc5a9214041941	keep	cpu.postflop.iteration_ms	28.47708	Repeat board-category caching; pooled report and profile behavior tests passed	2026-09-07T01:11:56+00:00
E005R	reports_profiles	6155843a3b3c09a5c8df108e96bc5a9214041941	keep	lifecycle.build_ms	8.6211	Repeat board-category caching; pooled report and profile behavior tests passed	2026-09-07T01:11:56+00:00
E005R	reports_profiles	6155843a3b3c09a5c8df108e96bc5a9214041941	keep	lifecycle.compressed_load_ms	85.1046	Repeat board-category caching; pooled report and profile behavior tests passed	2026-09-07T01:11:56+00:00
E005R	reports_profiles	6155843a3b3c09a5c8df108e96bc5a9214041941	keep	lifecycle.load_ms	66.054	Repeat board-category caching; pooled report and profile behavior tests passed	2026-09-07T01:11:56+00:00
E005R	reports_profiles	6155843a3b3c09a5c8df108e96bc5a9214041941	keep	lifecycle.profile_ms	647.8914	Repeat board-category caching; pooled report and profile behavior tests passed	2026-09-07T01:11:56+00:00
E005R	reports_profiles	6155843a3b3c09a5c8df108e96bc5a9214041941	keep	lifecycle.report_lines_ms	67.70439999999999	Repeat board-category caching; pooled report and profile behavior tests passed	2026-09-07T01:11:56+00:00
E005R	reports_profiles	6155843a3b3c09a5c8df108e96bc5a9214041941	keep	lifecycle.save_mb	104.204944	Repeat board-category caching; pooled report and profile behavior tests passed	2026-09-07T01:11:56+00:00
E005R	reports_profiles	6155843a3b3c09a5c8df108e96bc5a9214041941	keep	lifecycle.save_ms	220.3318	Repeat board-category caching; pooled report and profile behavior tests passed	2026-09-07T01:11:56+00:00
E006	build_save_load	9004a81ef2e7087b5a84c3676922a342c80ebb7e	keep	cpu.postflop.arena_mb	104.204192	Eliminate temporary f32 arena allocations and copies during load, retaining validation and file format	2026-09-07T01:14:00+00:00
E006	build_save_load	9004a81ef2e7087b5a84c3676922a342c80ebb7e	keep	cpu.postflop.iteration_ms	27.196720000000003	Eliminate temporary f32 arena allocations and copies during load, retaining validation and file format	2026-09-07T01:14:00+00:00
E006	build_save_load	9004a81ef2e7087b5a84c3676922a342c80ebb7e	keep	lifecycle.build_ms	8.4949	Eliminate temporary f32 arena allocations and copies during load, retaining validation and file format	2026-09-07T01:14:00+00:00
E006	build_save_load	9004a81ef2e7087b5a84c3676922a342c80ebb7e	keep	lifecycle.compressed_load_ms	92.4106	Eliminate temporary f32 arena allocations and copies during load, retaining validation and file format	2026-09-07T01:14:00+00:00
E006	build_save_load	9004a81ef2e7087b5a84c3676922a342c80ebb7e	keep	lifecycle.load_ms	58.6604	Eliminate temporary f32 arena allocations and copies during load, retaining validation and file format	2026-09-07T01:14:00+00:00
E006	build_save_load	9004a81ef2e7087b5a84c3676922a342c80ebb7e	keep	lifecycle.profile_ms	651.1934	Eliminate temporary f32 arena allocations and copies during load, retaining validation and file format	2026-09-07T01:14:00+00:00
E006	build_save_load	9004a81ef2e7087b5a84c3676922a342c80ebb7e	keep	lifecycle.report_lines_ms	70.5333	Eliminate temporary f32 arena allocations and copies during load, retaining validation and file format	2026-09-07T01:14:00+00:00
E006	build_save_load	9004a81ef2e7087b5a84c3676922a342c80ebb7e	keep	lifecycle.save_mb	104.204944	Eliminate temporary f32 arena allocations and copies during load, retaining validation and file format	2026-09-07T01:14:00+00:00
E006	build_save_load	9004a81ef2e7087b5a84c3676922a342c80ebb7e	keep	lifecycle.save_ms	221.40779999999998	Eliminate temporary f32 arena allocations and copies during load, retaining validation and file format	2026-09-07T01:14:00+00:00
E006R	build_save_load	9004a81ef2e7087b5a84c3676922a342c80ebb7e	keep	cpu.postflop.arena_mb	104.204192	Repeat direct-arena load after warm controls; compare both latency and process memory	2026-09-07T01:16:05+00:00
E006R	build_save_load	9004a81ef2e7087b5a84c3676922a342c80ebb7e	keep	cpu.postflop.iteration_ms	32.7023	Repeat direct-arena load after warm controls; compare both latency and process memory	2026-09-07T01:16:05+00:00
E006R	build_save_load	9004a81ef2e7087b5a84c3676922a342c80ebb7e	keep	lifecycle.build_ms	9.134	Repeat direct-arena load after warm controls; compare both latency and process memory	2026-09-07T01:16:05+00:00
E006R	build_save_load	9004a81ef2e7087b5a84c3676922a342c80ebb7e	keep	lifecycle.compressed_load_ms	96.8628	Repeat direct-arena load after warm controls; compare both latency and process memory	2026-09-07T01:16:05+00:00
E006R	build_save_load	9004a81ef2e7087b5a84c3676922a342c80ebb7e	keep	lifecycle.load_ms	43.0471	Repeat direct-arena load after warm controls; compare both latency and process memory	2026-09-07T01:16:05+00:00
